state_county_name,precipitation_in,rain_days,usgs_runoff_in
Arkansas-Poinsett,45,85.5,18
Arkansas-Polk,60,97.2,21
Arkansas-Pope,46.6,82.1,19
Arkansas-Prairie,54.47,86.7,18
Arkansas-Pulaski,52.14,92.5,19
Arkansas-Randolph,45,90.2,12
Arkansas-Saline,60,96.6,18
Arkansas-Scott,52.7,83.9,15.75
Arkansas-Searcy,46,83.1,17
Arkansas-Sebastian,45.04,79.9,14.8
Arkansas-Sevier,60,84.5,20
Arkansas-Sharp,45,83,15
Arkansas-St. Francis,59.87,84.3,18
Arkansas-Stone,50.63,88.9,16.333
Arkansas-Union,60,93.9,14.5
Arkansas-Van Buren,59.42,84.2,21
Arkansas-Washington,47,86.5,14.75
Arkansas-White,59.26,90.8,19
Arkansas-Woodruff,54.35,83,18
Arkansas-Yell,49.95,85.4,16.2
California-Alameda,19.05,47.2,3.5
California-Alpine,47.83,85.5,15.2
California-Amador,35.39,62.8,17.5
California-Butte,45.98,64.6,16.444
California-Calaveras,35.83,59.1,15
California-Colusa,20.28,46.4,8.833
California-Contra Costa,18.51,45.9,2.667
California-Del Norte,89.25,132.5,78.75
California-El Dorado,44.28,69.3,25
California-Fresno,20.72,53.1,9.583
California-Glenn,24.39,52,11.143
California-Humboldt,67.87,108.9,49.286
California-Imperial,5.1,29.5,3.41
California-Inyo,8.31,33.5,3.41
California-Kern,10.53,38.3,2.23
California-Kings,8.63,44.7,1.167
California-Lake,41.91,72.1,23.571
California-Lassen,19.27,65.3,3.264
California-Los Angeles,16.53,37,2.686
California-Madera,23.49,56.6,12.056
California-Marin,35.59,59.5,10
California-Mariposa,30.66,52.6,23.333
California-Mendocino,53.3,89.4,31.154
California-Merced,10.42,45,3.25
California-Modoc,18.17,79.5,5.111
California-Mono,19.77,60.5,11.953
California-Monterey,19.79,48,5.538
California-Napa,33.52,61.8,17.5
California-Nevada,51.62,77.7,31.667
California-Orange,14.89,40.5,1
California-Placer,44.74,71.2,15.3
California-Plumas,43.57,71.8,27.143
California-Riverside,8.76,33.4,1.467
California-Sacramento,17.65,45,4
California-San Benito,16.14,45,1
California-San Bernardino,8.49,30.7,1.96
California-San Diego,15.15,42.2,0.76
California-San Francisco,25.01,47.1,5
California-San Joaquin,15.09,45,2.25
California-San Luis Obispo,15.85,41.1,6.713
California-San Mateo,29.02,65.2,6.667
California-Santa Barbara,18.68,42.3,1.9
California-Santa Clara,23.09,48.4,2.667
California-Santa Cruz,38.25,63.7,7.5
California-Shasta,50.2,83.5,16.769
California-Sierra,51.44,77.6,27.143
California-Siskiyou,40.25,91,28.095
California-Solano,21.46,46.3,3
California-Sonoma,42.25,70.1,23.889
California-Stanislaus,13.17,45,3.8
California-Sutter,18.83,45,2.667
California-Tehama,37.64,66.1,17.333
California-Trinity,54.39,90.9,28
California-Tulare,20,48.5,5.7
California-Tuolumne,42.12,69.7,23.333
California-Ventura,17.52,37.8,1.814
California-Yolo,20.41,47.1,6.333
California-Yuba,38.87,57.4,16.444
Colorado-Adams,16,67.2,0.45
Colorado-Alamosa,9.59,48,2.667
Colorado-Arapahoe,16,66.8,0.45
Colorado-Archuleta,24.82,92.6,18.333
Colorado-Baca,16,45.3,0.1
Colorado-Bent,15.4,45,0.133
Colorado-Boulder,20.52,91.3,12.833
Colorado-Chaffee,18.61,78.8,12.75
Colorado-Cheyenne,16,45,0.1
Colorado-Clear Creek,23.69,119.7,15
Colorado-Conejos,20.21,71.5,13.556
Colorado-Costilla,15.77,61.7,5
Colorado-Crowley,8.5,45,0.2
Colorado-Custer,20.9,74.2,4.5
Colorado-Delta,18.78,76.6,10.4
Colorado-Denver,16,70.6,0.46
Colorado-Dolores,23.63,85,5.583
Colorado-Douglas,17.35,71.5,0.75
Colorado-Eagle,21.04,104.7,15
Colorado-El Paso,16.68,65.7,0.75
Colorado-Elbert,16,64.7,0.267
Colorado-Fremont,15.72,67.1,4.5
Colorado-Garfield,24.01,94,12.231
Colorado-Gilpin,23.77,111.1,12.5
Colorado-Grand,23.66,118.2,20.385
Colorado-Gunnison,22.62,95.9,13.889
Colorado-Hinsdale,30.11,100.6,12.5
Colorado-Huerfano,17.45,65.6,4.5
Colorado-Jackson,25.83,110.2,20.385
Colorado-Jefferson,18.08,78.4,2
Colorado-Kiowa,15.76,45,0.15
Colorado-Kit Carson,16,45.1,0.133
Colorado-La Plata,22.89,87.1,7.625
Colorado-Lake,24.41,112.5,15.833
Colorado-Larimer,20.81,88.3,6.122
Colorado-Las Animas,16.48,58.5,1.578
Colorado-Lincoln,15.65,51,0.15
Colorado-Logan,16,65.4,0.325
Colorado-Mesa,18.03,71,6.3
Colorado-Mineral,30.35,90.6,17.5
Colorado-Moffat,15.48,74.1,2.35
Colorado-Montezuma,16.58,68.7,3.6
Colorado-Montrose,17.17,75.7,5.25
Colorado-Morgan,16,47.1,0.1
Colorado-Otero,11.46,45,0.2
Colorado-Ouray,23.16,105.8,12.5
Colorado-Park,17.35,86.1,6.6
Colorado-Phillips,16,64,0.5
Colorado-Pitkin,29.1,111.9,18
Colorado-Prowers,16,45,0.1
Colorado-Pueblo,13.34,51.2,0.75
Colorado-Rio Blanco,18.54,82.3,12.056
Colorado-Rio Grande,18.07,69.4,11.143
Colorado-Routt,28.04,114.1,19
Colorado-Saguache,15.53,66.4,4.6
Colorado-San Juan,36.6,126.9,17.5
Colorado-San Miguel,21.46,85.6,8.833
Colorado-Sedgwick,16,58.2,0.5
Colorado-Summit,24.58,125.3,17
Colorado-Teller,20.68,82,1
Colorado-Washington,16,60.3,0.15
Colorado-Weld,16,57.8,0.46
Colorado-Yuma,16,47.3,0.2
Connecticut-Fairfield,48.72,110,23.25
Connecticut-Hartford,46.34,110.9,25.667
Connecticut-Litchfield,49.4,118.8,25
Connecticut-Middlesex,48.85,112.4,27
Connecticut-New Haven,49,109,26.25
Connecticut-New London,48.02,112.5,27.333
Connecticut-Tolland,45.15,113.3,24.5
Connecticut-Windham,45.09,112.5,25.5
Delaware-Kent,45,103.6,19
Delaware-New Castle,45,97.8,18.667
Delaware-Sussex,45,97.8,19.2
District of Columbia-Washington,45,99,16
Florida-Alachua,60,106.5,10
Florida-Baker,60,98.1,13.25
Florida-Bay,60,99.5,40
Florida-Bradford,60,97.8,11
Florida-Brevard,55.86,99.9,17.5
Florida-Broward,59.57,116.7,10
Florida-Calhoun,60,101.2,26.6
Florida-Charlotte,48.64,97.8,13.333
Florida-Citrus,59.99,100.1,8
Florida-Clay,60,102.9,11.8
Florida-Collier,54.16,106.4,10
Florida-Columbia,60,103,12
Florida-Dade,59.86,116.7,5
Florida-De Soto,51.84,97.7,12
Florida-Dixie,60,96.7,12
Florida-Duval,58.95,97.8,13.667
Florida-Escambia,60,98,29
Florida-Flagler,56.66,108.6,12
Florida-Franklin,60,98.7,25.286
Florida-Gadsden,60,104.4,19.6
Florida-Gilchrist,60,97.8,12
Florida-Glades,45.65,97.8,10.667
Florida-Gulf,60,107.3,18
Florida-Hamilton,60,97.8,11
Florida-Hardee,48.71,97.1,12
Florida-Hendry,46.97,97.9,10
Florida-Hernando,60,97.8,10
Florida-Highlands,45.23,96.8,10
Florida-Hillsborough,54.49,97.6,13
Florida-Holmes,60,101.3,25
Florida-Indian River,59.22,118.7,17.5
Florida-Jackson,60,98.1,25
Florida-Jefferson,60,103.8,13.4
Florida-Lafayette,60,97.8,11.5
Florida-Lake,51.38,102,7
Florida-Lee,58.1,97.8,11
Florida-Leon,60,108.5,18.25
Florida-Levy,59.29,99.3,9
Florida-Liberty,60,106.9,25.833
Florida-Madison,60,97.8,11.333
Florida-Manatee,60,95,15.25
Florida-Marion,58.4,112,7
Florida-Martin,54.14,112.9,15.25
Florida-Monroe,56.72,112.1,5
Florida-Nassau,60,97.8,14.25
Florida-Okaloosa,60,97.7,28.833
Florida-Okeechobee,45.08,98.2,12.75
Florida-Orange,52.31,95.4,10.833
Florida-Osceola,52.65,97.8,11.8
Florida-Palm Beach,56.6,109.5,12.75
Florida-Pasco,59.83,99.3,9
Florida-Pinellas,52.77,97.8,12.667
Florida-Polk,46.97,98.8,10
Florida-Putnam,60,112.5,11
Florida-Santa Rosa,60,99.6,29.667
Florida-Sarasota,57.98,97.8,15
Florida-Seminole,50.24,94.8,10.833
Florida-St. Johns,55.36,105.6,12
Florida-St. Lucie,56.7,119.3,17.5
Florida-Sumter,57.57,97.8,8
Florida-Suwannee,60,97.8,11
Florida-Taylor,60,99.9,13.667
Florida-Union,60,98,14
Florida-Volusia,56.68,103.2,11.8
Florida-Wakulla,60,102.8,20
Florida-Walton,60,106.7,28.833
Florida-Washington,60,99.5,26.6
Georgia-Appling,45,97.2,11.5
Georgia-Atkinson,53.92,97.8,12
Georgia-Bacon,45,97.8,11
Georgia-Baker,60,97.7,15.5
Georgia-Baldwin,45,97.8,14
Georgia-Banks,60,100.3,23.5
Georgia-Barrow,60,97.8,22.75
Georgia-Bartow,60,95.7,21
Georgia-Ben Hill,45,97.8,11
Georgia-Berrien,49.66,97.8,11
Georgia-Bibb,45,97.8,14.5
Georgia-Bleckley,45,89.5,12
Georgia-Brantley,59.83,96.8,12.5
Georgia-Brooks,60,88.4,11
Georgia-Bryan,45.53,97.8,11
Georgia-Bulloch,45,91.2,12
Georgia-Burke,45,85.1,13.667
Georgia-Butts,46.62,97.8,16
Georgia-Calhoun,60,93.6,22
Georgia-Camden,60,97.8,11.5
Georgia-Candler,45,91.1,13
Georgia-Carroll,60,97.8,22
Georgia-Catoosa,60,99.4,26
Georgia-Charlton,60,97.8,13
Georgia-Chatham,49.83,97.8,11
Georgia-Chattahoochee,53.3,97.8,19
Georgia-Chattooga,60,97.8,25
